run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,78916,669305,796,160,9,stop,False,65422.017,408.88760625,2.445659845675501,669306.067,840.8367675879398,1.1892914755246047,748221,0.6,202.7,4.6,6322.3
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,78887,670749,798,160,9,stop,False,33129.604,207.060025,4.829517430996157,670750.621,840.5396253132833,1.189711906356923,749636,0.6,202.7,4.6,6322.3
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,13522,766407,855,169,0,length,True,13493.446,79.84287573964497,12.524598979385992,766408.095,896.3837368421052,1.1155936446626389,779929,0.6,202.7,4.6,6322.3
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,45814,734639,855,169,0,length,True,32291.377,191.07323668639054,5.2335953341351775,734640.511,859.2286678362574,1.1638345383868982,780454,0.6,202.7,4.6,6322.3
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,45796,734638,855,160,9,length,True,32293.022,201.8313875,4.954630755833257,734639.642,859.2276514619883,1.163835915078484,780434,0.6,202.7,4.6,6322.3
turboquant,46,1,1,8,1,granite-4.1-8b-q4_k_m,turboquant,long,45815,734639,855,169,0,length,True,32292.056,191.0772544378698,5.23348528814641,734640.255,859.2283684210527,1.1638349439481777,780454,0.6,202.7,4.6,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16439,640874,831,34,9,stop,False,16327.982,480.23476470588236,2.0823148874122963,640875.227,771.20965944645,1.2966642569256308,657314,0.8,237.7,3.3,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16435,714521,905,34,9,stop,False,16328.115,480.23867647058825,2.082297926000644,714523.618,789.5288596685083,1.2665781468961883,730956,0.8,295.6,4.0,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16447,755829,952,34,9,stop,False,16327.853,480.23097058823527,2.082331338970286,755834.252,793.9435420168066,1.2595354040663402,772276,0.8,305.6,4.0,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16435,769877,971,34,9,stop,False,16327.473,480.21979411764704,2.082379802434829,769881.734,792.8751122554069,1.261232676550292,786313,0.8,307.1,4.6,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16441,776699,981,34,9,length,True,16328.381,480.24649999999997,2.082264004006276,776701.155,791.7442966360857,1.2630340429968847,793141,0.8,307.1,4.6,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16444,776699,981,34,9,length,True,16327.626,480.22429411764705,2.082360289242294,776699.455,791.7425637104994,1.2630368074611307,793143,0.8,307.1,4.6,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16438,776697,981,34,9,length,True,16327.615,480.22397058823526,2.08236169213936,776699.331,791.7424373088685,1.2630370091048784,793136,0.8,307.1,4.6,6322.3
turboquant,46,1,2,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16440,776699,981,34,9,length,True,16327.5,480.22058823529414,2.08237635890369,776699.285,791.7423904179409,1.2630370839082206,793139,0.8,307.1,4.6,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16406,515213,701,34,9,stop,False,16285.534,478.98629411764705,2.0877424099203625,515216.203,734.9731854493581,1.360593855391617,531619,1.0,182.4,2.7,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16394,579739,771,34,9,stop,False,16286.165,479.0048529411765,2.087661521297371,579741.553,751.934569390402,1.3299029472879618,596134,1.0,196.7,2.9,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16399,593438,786,34,9,stop,False,16285.317,478.97991176470583,2.0877702288509337,593443.866,755.0176412213741,1.324472363827584,609838,1.0,198.2,3.4,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16400,620220,820,34,9,stop,False,16286.453,479.01332352941176,2.0876246043260616,620221.422,756.3675878048781,1.3221084775752876,636620,1.0,198.2,3.4,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16401,632802,840,34,9,stop,False,16285.722,478.99182352941176,2.087718309326415,632808.562,753.3435261904763,1.3274156679314966,649204,1.1,198.2,3.4,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16404,636695,848,34,9,stop,False,16285.976,478.9992941176471,2.0876857487693705,636698.192,750.8233396226416,1.331871223532546,653099,1.1,198.2,3.4,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16403,650987,889,34,9,stop,False,16285.125,478.9742647058824,2.087794843453765,650990.182,732.2724206974128,1.365611993208217,667391,1.1,198.2,3.4,6322.3
turboquant,46,1,3,8,1,granite-4.1-8b-q4_k_m,turboquant,long,16403,651341,891,34,9,stop,False,16286.062,479.00182352941175,2.087674724558951,651342.644,731.0242918069584,1.367943598054974,667745,1.1,198.2,3.4,6322.3
turboquant,46,1,1,1,1,granite-4.1-8b-q4_k_m,turboquant,medium,10453,72737,606,35,9,stop,False,10435.269,298.15054285714285,3.3540103278602595,72738.312,120.03021782178219,8.331235401778363,83191,3.6,31.2,0.0,5714.6
turboquant,46,1,2,1,1,granite-4.1-8b-q4_k_m,turboquant,medium,1330,92618,740,22,11,stop,False,1308.513,59.47786363636363,16.812977784706764,92618.796,125.16053513513513,7.989738929450129,93948,3.6,0.0,0.0,5714.6
turboquant,46,1,3,1,1,granite-4.1-8b-q4_k_m,turboquant,medium,1387,119968,902,23,9,stop,False,1364.909,59.343869565217396,16.850940245833236,119969.431,133.00380376940132,7.518581962766832,121355,3.7,41.8,0.0,5714.6
turboquant,46,1,1,2,1,granite-4.1-8b-q4_k_m,turboquant,medium,20694,95944,478,35,9,stop,False,10196.061,291.31602857142855,3.4326981762859208,95944.854,200.7214518828452,4.9820285306807595,116638,3.6,28.6,0.0,5771.1
turboquant,46,1,1,2,1,granite-4.1-8b-q4_k_m,turboquant,medium,10499,128881,637,35,9,stop,False,10480.3,299.4371428571428,3.339599057278895,128882.602,202.32747566718996,4.942482461674695,139381,3.6,28.6,0.0,5771.1
turboquant,46,1,2,2,1,granite-4.1-8b-q4_k_m,turboquant,medium,10961,167125,746,22,11,stop,False,10935.578,497.07172727272723,2.0117820932738995,167126.452,224.03009651474528,4.463685975933959,178086,3.7,58.9,0.0,5771.1
turboquant,46,1,2,2,1,granite-4.1-8b-q4_k_m,turboquant,medium,10961,189676,881,22,11,stop,False,10935.508,497.0685454545455,2.0117949710246656,189677.677,215.2981577752554,4.644721582076314,200638,3.7,74.6,0.0,5771.1
turboquant,46,1,3,2,1,granite-4.1-8b-q4_k_m,turboquant,medium,10869,214288,898,23,9,stop,False,10840.379,471.3208260869566,2.1216970366072996,214289.61,238.629855233853,4.190590481731709,225157,3.7,31.6,0.0,5771.1
turboquant,46,1,3,2,1,granite-4.1-8b-q4_k_m,turboquant,medium,10869,227123,970,23,9,stop,False,10840.297,471.31726086956525,2.121713085905303,227124.569,234.14904020618556,4.270784108785695,237992,3.7,45.9,0.0,5771.1
turboquant,46,1,1,4,1,granite-4.1-8b-q4_k_m,turboquant,medium,23474,257092,684,35,9,stop,False,12969.747,370.56419999999997,2.6985877211020384,257093.161,375.8671944444444,2.6605141783604274,280567,3.7,59.1,0.0,5930.9
turboquant,46,1,1,4,1,granite-4.1-8b-q4_k_m,turboquant,medium,23474,260204,691,35,9,stop,False,12970.192,370.5769142857143,2.6984951340735743,260205.628,376.56386107091174,2.655592061213987,283679,3.7,61.6,0.0,5930.9
